"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.9560067681895","24.8421052631579","24.3143690736689","27.0848708487085","20.6501297016861","23.7146427711971","19.1893083069923","12.2071596078221","14.6464617651111","17.2483330332322","-1.65295315436508","13.1042328028591","2.91736405850144","15.3451066556822","11.1749137477753","4.64861927573651","-1.24014680878329","5.75084681363781","6.98215016518539","10.7100538136358","14.9884000218126","15.529237431618","14.3109505662585","12.3387299914905","16.7220062386252","4.65571991093964","13.4612626619409","20.8897187789815","",
"Africa Eastern and Southern","AFE","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.9933194693836","13.5305018423241","13.9991436626589","16.9208098509193","16.1021773033616","","","","","","","","20.6526621529615","20.7783490222499","22.4708452131755","23.3872322190173","24.2579012957029","24.0582904014464","22.5407650677258","18.5893631270673","21.0427896328638","21.3055438498151","18.3825842372791","17.7828648060467","18.0036466679836","16.7539213140491","17.6507589751451","17.6957454047363","17.5681382966125","18.8101854230121","18.9002178411661","20.5904921641303","19.7402400806228","",
"Afghanistan","AFG","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.73776944282332","","","",
"Africa Western and Central","AFW","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.8768162467193","26.0554613294418","33.5360055097069","41.1876533502091","43.4545835871925","41.498970229751","38.6588586375693","27.6578736281188","36.9873385973916","37.8885498374036","37.2329984034904","31.9785711919577","29.8579651055365","24.8175549293022","24.0174901664108","23.0996694434044","25.09992382482","32.1029953155946","28.0659815476765","38.2908476721723","35.786643254688","",
"Albania","ALB","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","27.811226308299","28.4100004362066","28.2425665773267","26.0607555881553","23.7252668969749","26.8282680674096","18.7777579223622","-10.9519889602208","-11.9935808855625","11.2082081228168","3.10984322108368","16.3575110147134","16.1325085222171","5.57239439340344","17.3374359747225","14.8995793450768","25.8913491846552","28.9252187864385","25.5167165764119","26.2582688780353","29.3848368163144","30.1064946152177","29.0689428992694","23.9542931255582","17.7309240340907","17.3358968273404","19.9676166726829","20.5454589869746","19.6251008726206","17.7412920007614","15.9293874874597","16.8639794428582","17.0490732471495","16.5293717538814","16.5471599589616","14.3966084519199","13.4131244989051","17.1506308942583","18.4203696785764","",
"Andorra","AND","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.7917918017869","42.2370281974591","41.8578803019615","44.9227131459529","31.5990377503677","36.7024160575479","40.8786048942587","39.4466773843079","37.2600115986999","33.3004644702493","24.1381914378194","23.989371909913","27.8876186601503","31.3259931055495","29.5650070290177","22.5320706068766","28.7310082585205","","",
"United Arab Emirates","ARE","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","34.0135295252257","32.4531153857551","30.0623313779627","25.1337890334275","22.958545298159","19.9082193500495","18.3182702207985","18.5368526806101","17.6215040712082","","14.7833855830771","15.1977644724266","","13.6301823874957","16.0433752309533","13.5618560304189","13.6516427929257","16.2505279122602","15.6483624533872","16.5116322700598","17.1300773563084","16.6642824266429","16.1297343275958","13.6619163753345","14.3684376958258","14.2140728227831","21.3431768782392","21.7345330075457","13.7828348747865","13.7086097328953","21.4172295393985","22.2314441717013","21.1268023980529","18.3213663046327","17.3318557921569","17.3332165460366","16.2099451316674","15.1944663729121","15.909027608976","14.3058273001867","14.6222549674317","13.0688485783361","11.3939154107462","13.6907954449568","15.0121353189386","19.5419633121122","17.5198551657037","",
"Armenia","ARM","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-5.43940818045189","2.56882977833482","-2.12991775333434","1.78758883398485","3.91411260681083","0.756174307649044","2.83405555049927","-0.927016879663365","5.41198363085679","10.2454058280205","16.341811815504","19.7148351012962","24.3073179174958","28.5448330329336","28.6006926293811","27.9049203479905","14.0475566558617","13.200763048602","11.095722762862","14.0967327906916","14.836719782724","13.2812572210453","18.4537774287326","17.8749653628263","17.1784579074194","15.553575766877","10.2216231584809","15.706721872422","19.6092387447809","22.1883921575127","",
"American Samoa","ASM","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
